Na,Mg,Al,P,S,Ca,Fe,Mn,Deployment
0.6926399999999999,0,0,0.15888,153.11999999999998,0,0.27552000000000004,0.0096,1
0.67104,0,0.20160000000000006,0.14448,150.72,0,0,0.0096,1
0.73104,0,0,0.13727999999999999,155.51999999999998,0,0.19152000000000002,0.012,1
0.8342400000000002,0,0,0.14687999999999998,162.72,0,0,0.012,1
0.7164,0.013999999999999999,0.020799999999999992,0,0,0,0,0.0035999999999999986,2
0.7548000000000001,0,0.016,0,0,0,0.01920000000000001,0.0035999999999999986,2
0.7691999999999999,0,0.016,0,0,0,0.0408,0.006,2
0.9011999999999999,0,0.0112,0,0,0.12720000000000006,0.03599999999999999,0.006,2
0.9156,0.0019999999999999983,0.032799999999999996,0,0,0.14640000000000003,0.0696,0.006,2
0.9156,0,0.0352,0,1.1999999999999957,0.11279999999999998,0.0816,0.006,2
12841.687199999998,0.09119999999999999,0.10439999999999998,0.00360000000000002,68.39999999999999,0,0.4295999999999999,0,4
13067.920800000002,0.0672,0,0,63.59999999999999,0,0.22319999999999995,0,4
12909.520799999998,0.08639999999999999,0.061199999999999984,0,68.39999999999999,0,0.2760000000000001,0,4
13492.1112,0.07680000000000001,0.041999999999999996,0.00360000000000002,87.6,0,0.2856,0,4
